Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),
Configuration Field Inputs,50,50,2,0,0,15,V1,v,10000,I2,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Frequency,ROCOF,
 ,3.2,1.10081901197,3.91363370117,0.0621611083951,126.850964902,49.9664788093,-0.015343334303,
 ,3.22,1.10041250018,4.13228600679,0.0621343735679,127.194157025,49.9685690211,-0.0161967487671,
 ,3.24,1.10013769486,4.33501229764,0.0621164175072,127.507723211,49.970745247,-0.0169383613882,
 ,3.26,1.1000050575,4.52131229187,0.0621079890051,127.78793151,49.9729963424,-0.0175836371494,
 ,3.28,1.1000214613,4.69074272358,0.0621097329493,128.031844199,49.9753130551,-0.0181476135087,
 ,3.3,1.1001898463,4.84291006309,0.0621221620209,128.237381356,49.9776874457,-0.0186421166906,
 ,3.32,1.10050900111,4.97747093804,0.0621456268713,128.403377057,49.9801119976,-0.0190732025154,
 ,3.34,1.10097347318,5.09414148746,0.0621802869732,128.529626311,49.9825785096,-0.0194391677031,
 ,3.36,1.10157361482,5.19271588014,0.062226086324,128.616918331,49.9850768937,-0.019729397977,
 ,3.38,1.10229577878,5.27309320988,0.0622827390765,128.667050394,49.987594013,-0.0199241973698,
 ,3.4,1.10312268144,5.33531107706,0.0623497298561,128.682816552,49.9901126842,-0.0199956063817,
 ,3.42,1.10403394821,5.37958347742,0.0624263321593,128.667966758,49.9926109501,-0.0199090942782,
 ,3.44,1.10500684456,5.40634018642,0.0625116461599,128.627133958,49.9950616944,-0.0196259264494,
 ,3.46,1.10601717554,5.41626464204,0.0626046548433,128.56572879,49.9974326395,-0.0191059730123,
 ,3.48,1.10704031246,5.41032734217,0.0627042949323,128.489803328,49.9996867398,-0.0183107357032,
 ,3.5,1.10805228128,5.38981192969,0.062809536811,128.40588668,50.001782965,-0.017206407624,
 ,3.52,1.10903082998,5.35633140495,0.0629194657434,128.320796408,50.0036774457,-0.0157668181461,
 ,3.54,1.10995638675,5.31183228397,0.0630333552917,128.241431007,50.0053249457,-0.0139761316939,
 ,3.56,1.1108128277,5.25858503834,0.0631507231502,128.174550161,50.0066806008,-0.0118311595728,
 ,3.58,1.11158799248,5.1991598286,0.0632713598779,128.126551216,50.0077018475,-0.00934312375254,
 ,3.6,1.11227391278,5.13638735797,0.0633953225401,128.103251896,50.0083504401,-0.00653870696879,
 ,3.62,1.11286674838,5.07330555741,0.0635228882577,128.109690249,50.008594441,-0.00346025560148,
 ,3.64,1.1133664521,5.01309366622,0.0636544670979,128.149952805,50.0084100654,-0.000165072135963,
 ,3.66,1.11377620614,4.95899600096,0.0637904791942,128.227040604,50.0077832693,0.00327617670528,
 ,3.68,1.11410168605,4.91423825806,0.0639312066362,128.342780263,50.0067109898,0.00678183068153,
 ,3.7,1.11435021672,4.88193956929,0.0640766354498,128.497783775,50.0052019672,0.0102622317925,
 ,3.72,1.11452988786,4.86502375263,0.064226305895,128.691456913,50.0032771034,0.0136231765942,
 ,3.74,1.11464869697,4.86613330296,0.0643791896954,128.922052553,50.0009693294,0.0167696610363,
 ,3.76,1.11471378589,4.88754964927,0.0645336106147,129.186762398,49.9983229755,0.0196097579363,
 ,3.78,1.11473083193,4.93112304965,0.0646872204732,129.481839012,49.995392659,0.0220584601531,
 ,3.8,1.11470364491,4.99821517328,0.0648370370661,129.802739536,49.9922417278,0.0240413077415,
 ,3.82,1.11463400549,5.08965691872,0.0649795443611,130.144282987,49.9889403223,0.0254976079834,
 ,3.84,1.11452175854,5.20572335603,0.0651108495416,130.500814059,49.9855631431,0.026383065471,
 ,3.86,1.11436514856,5.34612689113,0.0652268863772,130.866367845,49.982187026,0.0266716688343,
 ,3.88,1.11416135769,5.51002888586,0.0653236503024,131.234831378,49.9788884402,0.0263567254867,
 ,3.9,1.11390718327,5.69606907254,0.0653974476384,131.600099564,49.9757410272,0.0254509867971,
 ,3.92,1.11359977778,5.90241123229,0.0654451397171,131.956224529,49.9728132971,0.0239858577508,
 ,3.94,1.11323736942,6.12680281734,0.0654643624697,132.297558624,49.9701665886,0.0220097373396,
 ,3.96,1.11281988937,6.36664555603,0.0654537034826,132.618891892,49.9678533836,0.0195855912366,
 ,3.98,1.11234944752,6.61907365258,0.0654128217599,132.915584503,49.9659160436,0.0167879168206,
 ,4.0,1.11183062011,6.88103603545,0.0653425003666,133.183693409,49.9643860036,0.0136993164182,
 ,4.02,1.11127053525,7.14937924329,0.065244628403,133.420090442,49.963283425,0.0104069359072,
 ,4.04,1.11067876241,7.42092794253,0.0651221156276,133.622566663,49.9626172731,0.00699903825363,
 ,4.06,1.11006702824,7.69256067627,0.0649787494855,133.789915705,49.9623857569,0.00356195369856,
 ,4.08,1.10944879187,7.96127913486,0.0648190092589,133.921987634,49.9625770497,0.00017757791634,
 ,4.1,1.10883871937,8.22426988935,0.0646478547087,134.019705131,49.9631702078,-0.00307851165061,
 ,4.12,1.10825210002,8.47895803425,0.0644705065902,134.085035696,49.9641362157,-0.00613835665997,
 ,4.14,1.10770424561,8.72305250489,0.064292234054,134.120916854,49.9654391036,-0.00894244799126,
 ,4.16,1.10720990969,8.95458300072,0.0641181599376,134.131135633,49.9670371056,-0.0114402186825,
 ,4.18,1.10678275555,9.17192855505,0.0639530903299,134.120167919,49.9688838328,-0.0135902957434,
 ,4.2,1.10643489079,9.37383794347,0.0638013706001,134.09298704,49.9709294378,-0.0153605354984,
 ,4.22,1.10617647499,9.55944236664,0.063666767107,134.054853486,49.9731217363,-0.0167278069258,
 ,4.24,1.10601539743,9.72826113248,0.0635523724786,134.011098746,49.9754072471,-0.0176774807797,
 ,4.26,1.10595701679,9.8802012808,0.0634605325986,133.966916031,49.9777321139,-0.0182026434067,
 ,4.28,1.10600395609,10.0155521029,0.0633927948092,133.927169365,49.9800428994,-0.0183031576079,
 ,4.3,1.1061559533,10.1349752409,0.0633498785655,133.896230579,49.9822872684,-0.0179847836226,
 ,4.32,1.10640977868,10.2394905542,0.0633316711027,133.877851324,49.9844146154,-0.0172585956702,
 ,4.34,1.10675923985,10.3304573641,0.063337251028,133.875074574,49.9863767032,-0.0161408579886,
 ,4.36,1.10719530164,10.4095502446,0.0633649419455,133.89018717,49.9881283778,-0.0146533785943,
 ,4.38,1.10770634428,10.4787283773,0.0634123964439,133.924712096,49.9896283916,-0.01282419421,
 ,4.4,1.10827857233,10.5401977023,0.0634767084166,133.979436488,49.9908403281,-0.0106883189397,
 ,4.42,1.10889656678,10.5963656197,0.0635545491681,134.054469249,49.9917335791,-0.00828825404785,
 ,4.44,1.10954395008,10.6497886956,0.0636423204146,134.149320861,49.9922842959,-0.00567401167695,
 ,4.46,1.11020411317,10.7031145206,0.0637363153066,134.262997702,49.9924762282,-0.00290252345539,
 ,4.48,1.11086093973,10.7590194295,0.0638328771848,134.394103854,49.9923013735,-3.64410343227e-05,
 ,4.5,1.11149946032,10.8201441254,0.0639285451307,134.540944818,49.9917603823,0.00285755229561,
 ,4.52,1.11210637642,10.8890293532,0.0640201757714,134.701629268,49.99086269,0.00571073753468,
