Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),
Configuration Field Inputs,50,50,5,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Frequency,ROCOF,
 ,3.24,1.04851715501,22.5853348183,0.0378999800168,24.7668149236,2.2339342576,-83.6466622585,0.536137322387,33.4937411218,0.0247477060979,-24.6479763708,49.93144531,-0.0744471583666,
 ,3.26,1.04772694995,22.9623784029,0.0382796505508,25.0632223244,2.22120874099,-82.32109611,0.540922907008,33.7497325039,0.0256411533399,-22.7191947063,49.9422152926,-0.0818767664661,
 ,3.28,1.04724683819,23.2548663598,0.0385278123894,25.3145799622,2.21278943955,-81.4161185147,0.544041349297,33.9742927736,0.0263217302024,-21.3689396867,49.9536536161,-0.0878931005257,
 ,3.3,1.0470921256,23.4600125512,0.0386400871946,25.5185178503,2.20836481822,-80.9536078195,0.545437703275,34.1651418295,0.0267620083084,-20.5541083359,49.9655650401,-0.0924040425749,
 ,3.32,1.04726874897,23.5764906685,0.0386145643842,25.6737638839,2.207811965,-80.943390059,0.545087953866,34.321058394,0.0269450742892,-20.2476111449,49.977747718,-0.0953437980513,
 ,3.34,1.04777298578,23.6044566282,0.0384518094998,25.7801602963,2.21122114598,-81.3830585317,0.542999084342,34.4419038451,0.0268644170488,-20.4378880297,49.9899963431,-0.096672026034,
 ,3.36,1.04859155828,23.5455508163,0.0381548470801,25.8386560622,2.21888750859,-82.2579182646,0.53920883402,34.5286133608,0.0265238966231,-21.1285685951,50.0021051596,-0.0963728399194,
 ,3.38,1.04970213218,23.4028799494,0.0377291182555,25.8512757544,2.23127047328,-83.5410977885,0.533785154796,34.5831554074,0.025937794639,-22.3384472223,50.0138708552,-0.0944538601545,
 ,3.4,1.05107419453,23.1809780654,0.037182411639,25.8210649385,2.24892447861,-85.193991285,0.526825352755,34.6084599534,0.0251309297405,-24.1016268059,50.0250953661,-0.0909454319944,
 ,3.42,1.05267027816,22.8857460502,0.0365247645119,25.7520117669,2.27240814795,-87.1672564793,0.518454878327,34.6083151713,0.024138796968,-26.4673141706,50.0355886213,-0.0859000477721,
 ,3.44,1.05444748109,22.5243691792,0.0357683300017,25.6489439523,2.3021823493,-89.4025606328,0.508825708643,34.5872318625,0.0230076359663,-29.4981759814,50.0451712499,-0.0793919529782,
 ,3.46,1.05635920945,22.1052123941,0.0349272052287,25.5173998217,2.33851023204,-91.8351293111,0.498114253378,34.5502745874,0.0217942166396,-33.2652656473,50.0536772634,-0.0715168787014,
 ,3.48,1.0583570535,21.6376933998,0.0340172155646,25.3634718917,2.3813730742,-94.3969438911,0.486518715213,34.5028588004,0.0205649111586,-37.8363777293,50.060956715,-0.0623918279688,
 ,3.5,1.06039269064,21.1321341179,0.033055651454,25.1936217584,2.43041387183,-97.0202285588,0.474255851624,34.4505146063,0.0193932812817,-43.2539880649,50.0668783286,-0.052154837931,
 ,3.52,1.06241970147,20.5995915315,0.0320609567472,25.0144665862,2.48491610391,-99.640751764,0.461557117017,34.3986206013,0.0183550680824,-49.5007770158,50.0713320775,-0.0409646276047,
 ,3.54,1.06439518545,20.0516695126,0.0310523709905,24.832540679,2.54381909329,-102.200492989,0.448664210783,34.3521160747,0.0175195742031,-56.4584348648,50.0742316761,-0.0290000115345,
 ,3.56,1.06628107604,19.5003138505,0.0300495321826,24.6540409013,2.60576554759,-104.649381602,0.435824111895,34.3152068137,0.0169377641574,-63.8794310786,50.0755169248,-0.0164589162371,
 ,3.58,1.06804507823,18.9575934224,0.0290720505261,24.4845720174,2.66917273074,-106.946033204,0.423283736322,34.2910884277,0.0166302528324,-71.4005034553,50.0751558203,-0.00355679584057,
 ,3.6,1.06966118384,18.4354712462,0.028139067088,24.3289164364,2.73231701899,-109.057607432,0.411284401255,34.281720157,0.0165808395494,-78.6101068594,50.0731463157,0.00947576954753,
 ,3.62,1.07110975693,17.945569993,0.0272688135318,24.1908604071,2.79342213879,-110.959033106,0.400056312554,34.2876890485,0.0167399047957,-85.1411120318,50.0695175908,0.0223964746043,
 ,3.64,1.07237721902,17.4989373121,0.0264781898961,24.0731122584,2.85074337257,-112.631879135,0.389813303442,34.3082056909,0.017036513482,-90.7368685127,50.0643306903,0.0349557834704,
 ,3.66,1.07345539702,17.1058169415,0.0257823766863,23.9773440336,2.90264253657,-114.063114107,0.380748040608,34.3412645686,0.0173934593411,-95.2629653544,50.0576783953,0.0469024866758,
 ,3.68,1.07434062265,16.7754319496,0.0251944954138,23.9043726684,2.94765088852,-115.243928557,0.373027878936,34.3839818597,0.0177397626014,-98.6777934189,50.0496842259,0.0579901486832,
 ,3.7,1.07503268844,16.5157865221,0.0247253284644,23.8544702593,2.98451895374,-116.168721186,0.366791492272,34.4330915749,0.0180185160213,-100.990806171,50.0405005193,0.0679841491311,
 ,3.72,1.07553377128,16.3334924473,0.0243831052625,23.8277592411,3.01225348275,-116.834291491,0.362146343391,34.4855425456,0.0181907409359,-102.228074564,50.0303055776,0.0766689313067,
 ,3.74,1.07584743038,16.2336258677,0.0241733577455,23.824617106,3.03014244572,-117.239242348,0.359166993678,34.5391040973,0.0182367836338,-102.411100552,50.0192999441,0.0838550271515,
 ,3.76,1.07597777329,16.2196189934,0.0240988447962,23.8459992224,3.03776925949,-117.38357573,0.357894204833,34.5928699134,0.0181564714429,-101.54777491,50.0077019149,0.0893854290574,
 ,3.78,1.07592886294,16.2931903359,0.0241595429752,23.8935974128,3.03501745708,-117.268458274,0.358334760867,34.6475576569,0.0179686175497,-99.6332637103,49.9957424418,0.0931409195146,
 ,3.8,1.07570441183,16.4543157011,0.0243526997333,23.9697875378,3.02206685059,-116.896135765,0.360461940493,34.7055384134,0.0177098687476,-96.6599933821,49.9836596198,0.0950440436432,
 ,3.82,1.07530777963,16.7012407252,0.0246729449709,24.0773713359,2.9993819848,-116.269982239,0.364216590596,34.7705863336,0.0174323716321,-92.637079461,49.971692969,0.0950615096291,
 ,3.84,1.07474225888,17.0305342517,0.0251124567535,24.2191683165,2.96769339474,-115.394677052,0.369508776733,34.8473981838,0.0171993285458,-87.618374131,49.9600777298,0.0932049188782,
 ,3.86,1.07401160401,17.4371804159,0.0256611766488,24.3975453329,2.92797192111,-114.276509123,0.376220002227,34.9409767798,0.0170774916328,-81.7330170203,49.9490393774,0.0895298487104,
 ,3.88,1.07312073383,17.9147060128,0.0263070692486,24.6139760649,2.88139615585,-112.923809578,0.38420598458,35.0559897194,0.0171265166475,-75.2039535503,49.9387885397,0.0841334205987,
 ,3.9,1.07207652013,18.4553386514,0.0270364190596,24.8687030437,2.82931303549,-111.34751003,0.393299956501,35.1962042021,0.0173870965562,-68.3360800251,49.9295164664,0.0771505723318,
 ,3.92,1.07088856694,19.0501903775,0.0278341564379,25.1605421156,2.77319172403,-109.561811881,0.40331642591,35.3640681179,0.0178718549745,-61.467634709,49.9213911642,0.0687493044936,
 ,3.94,1.0695698867,19.6894609209,0.0286842029792,25.4868359744,2.7145712758,-107.584931119,0.414055295007,35.5604694407,0.0185628700703,-54.9036738984,49.9145542707,0.0591251896906,
 ,3.96,1.06813739176,20.3626544695,0.029569826048,25.8435384266,2.65500317947,-105.439853484,0.425306211731,35.7846715528,0.0194165990735,-48.865089437,49.9091187072,0.0484954238754,
 ,3.98,1.06661213881,21.0588039045,0.0304739920401,26.2253975664,2.59599075902,-103.155000257,0.436853012615,36.0343981317,0.0203733303962,-43.4736232253,49.9051671206,0.0370926738173,
 ,4.0,1.06501928898,21.7666967042,0.0313797085065,26.6262027403,2.53892848282,-100.764673275,0.448478115308,36.3060292773,0.0213671260074,-38.7679538063,49.9027510964,0.0251589437681,
 ,4.02,1.06338777262,22.4750972217,0.0322703463087,27.0390636373,2.48504533991,-98.3091314815,0.45996672986,36.5948686597,0.0223336245547,-34.7328143074,49.9018911048,0.0129396539937,
 ,4.04,1.06174967405,23.172960701,0.0331299344129,27.4566965103,2.43535729671,-95.8341645601,0.471110777356,36.8954460972,0.0232150533182,-31.3263071637,49.9025771213,0.00067809493273,
 ,4.06,1.06013937314,23.8496351713,0.0339434216657,27.8716998347,2.39063407991,-93.3900815507,0.481712429627,37.2018276829,0.0239629569704,-28.4992975854,49.90476985,-0.0113896099008,
 ,4.08,1.05859249812,24.4950481651,0.0346969018437,28.2768082035,2.35138480631,-91.0301215896,0.491587212209,37.5079138082,0.0245394287809,-26.2068661434,49.9084024658,-0.0230389351075,
 ,4.1,1.0571447541,25.0998759833,0.0353778003686,28.6651183719,2.31786516124,-88.8084012811,0.500566642413,37.8077126721,0.0249174790003,-24.4140511649,49.9133827899,-0.0340607226957,
 ,4.12,1.0558306969,25.6556939103,0.0359750232104,29.0302850459,2.29010611133,-86.7776067111,0.508500403455,38.0955824611,0.0250809419745,-23.0981631362,49.9195958104,-0.0442642743271,
 ,4.14,1.05468251981,26.1551063463,0.036479070488,29.3666863786,2.26796106971,-84.986685187,0.515258081472,38.3664392452,0.0250241431554,-22.2492940101,49.9269064676,-0.0534797829755,
 ,4.16,1.05372891465,26.5918562698,0.0368821188731,29.6695604234,2.25116573459,-83.478775125,0.520730512017,38.6159299605,0.024751436312,-21.8699657148,49.9351626252,-0.0615601360458,
 ,4.18,1.05299405881,26.9609138049,0.0371780778491,29.9351142013,2.2394031229,-82.289539722,0.524830793599,38.840570984,0.0242766589562,-21.9743432552,49.9441981559,-0.0683821225036,
 ,4.2,1.05249676831,27.2585439693,0.0373626250168,30.160606836,2.23236590954,-81.4459701237,0.527495026398,39.0378531366,0.0236225162957,-22.5870521414,49.9538360711,-0.0738470722416,
 ,4.22,1.05224984522,27.4823539347,0.0374332249651,30.3444076426,2.22980895738,-80.9656330087,0.528682825105,39.2063138269,0.0228198720454,-23.741312141,49.9638916307,-0.0778809618137,
 ,4.24,1.05225963781,27.631320313,0.037389134957,30.4860293658,2.23158650539,-80.8562834399,0.528377638725,39.3455767406,0.0219068838264,-25.4757695464,49.9741753748,-0.0804340476172,
 ,4.26,1.05252582305,27.7057970542,0.0372313991686,30.5861361564,2.23767044489,-81.1157565108,0.526586891583,39.4563591768,0.0209278611895,-27.8290774904,49.9844960404,-0.0814801338306,
 ,4.28,1.05304141497,27.7075044671,0.0369628318227,30.6465254571,2.2481481471,-81.7320831768,0.523341943007,39.5404469162,0.0199316436072,-30.8310665113,49.9946633444,-0.081015631517,
 ,4.3,1.05379299707,27.639499658,0.0365879885325,30.670082814,2.26320028099,-82.683827587,0.518697851069,39.6006363952,0.0189692154126,-34.4896231529,50.0044906413,-0.0790585925711,
 ,4.32,1.05476117223,27.5061283894,0.0361131245382,30.6607087181,2.28306096998,-83.940691752,0.512732918614,39.6406439527,0.018090264285,-38.7737649301,50.0137974859,-0.0756478869532,
 ,4.34,1.05592121839,27.3129580823,0.0355461381376,30.6232168718,2.30796446849,-85.4644570918,0.505547995781,39.6649820015,0.0173385812679,-43.5963648241,50.0224121379,-0.0708426287837,
