Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),
Configuration Field Inputs,50,50,8,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Frequency,ROCOF,
 ,3.36,1.04394812521,1.64024821944,0.286073679453,-30.4977086294,0.46204656529,176.011219812,0.273360765315,175.503612144,0.30164215306,157.172984505,0.930527412029,73.7363342421,1.11438020996,-129.121694931,14.3727672142,179.784130601,49.9872661379,0.00445949472601,
 ,3.38,1.04395470519,1.73783579828,0.283139889357,-30.3202126133,0.458934130046,176.000963775,0.261651935046,175.757302986,0.306195731097,157.5104169,0.929031682037,74.9988777752,1.12329019561,-130.090634015,14.31349728,179.833503026,49.9867206542,0.00437812907657,
 ,3.4,1.0439609613,1.83916227589,0.280084083224,-30.1356876152,0.455726468512,175.990409897,0.249378249714,176.043653366,0.309989470019,157.806790399,0.927974032267,76.1847981491,1.13179506053,-130.959893879,14.2510703719,179.884543302,49.9861929071,0.00425699750693,
 ,3.42,1.04396691981,1.94404945905,0.276904205647,-29.9443069399,0.452434669155,175.979696917,0.236579293268,176.368511294,0.312981105886,158.062804532,0.927290267298,77.2871666088,1.14002588812,-131.754563634,14.1856837914,179.937243152,49.9856875546,0.00409793062442,
 ,3.44,1.04397261234,2.05228915869,0.273599803778,-29.7463190062,0.44907068849,175.968970975,0.223297654424,176.739301519,0.315137080012,158.278940169,0.926914592464,78.3013391123,1.1481653139,-132.499708121,14.1175537075,179.991577235,49.9852089232,0.00390329367038,
 ,3.46,1.043978075,2.16364621129,0.270172180391,-29.5420476091,0.445647274981,175.958387988,0.209578654876,177.165598368,0.31643321904,158.455464999,0.92678319106,79.2249879199,1.15643860483,-133.219881921,14.0469125498,-179.952496433,49.9847609498,0.00367594016701,
 ,3.48,1.04398334749,2.277861843,0.266624506608,-29.3318907224,0.442177879892,175.948115871,0.195470101848,177.659963683,0.316855340413,158.59244498,0.926837126945,80.0580690122,1.16510565539,-133.938612199,13.9740062004,-179.895035891,49.9843471302,0.00341915764941,
 ,3.5,1.04398847208,2.39465731523,0.262961891069,-29.1163178171,0.438676556251,175.938336534,0.181022103881,178.239204139,0.316399761667,158.68976117,0.927024466047,80.8027359275,1.17445403667,-134.677837582,13.8990910478,-179.836114446,49.9839704762,0.00313660657771,
 ,3.52,1.04399349255,2.51373778623,0.259191403359,-28.8958657043,0.435157847324,175.929247549,0.166287012056,178.926313376,0.315073693511,158.747132044,0.927301589117,81.4632102478,1.18479299679,-135.457306911,13.8224309662,-179.775819719,49.9836334811,0.00283225363434,
 ,3.54,1.04399845314,2.63479632069,0.255322050661,-28.6711329479,0.431636666236,175.92106342,0.151319592769,179.75357386,0.312895498988,158.764142046,0.927633739254,82.0456175335,1.19644809293,-136.29395819,13.7442942868,-179.714252495,49.9833380946,0.00251030070011,
